site,data_status,action_code,datetime,parameter,duration,frequency,value,unit,qc,poc,lat,lon,GISDatum,elev,method_code,mpc,mpc_value,uncertainty,qualifiers
840020900034,0,10,20150708T0500-0900,64101,60,0,747,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150708T0400-0900,64101,60,0,747,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150708T0300-0900,64101,60,0,747,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150708T0200-0900,64101,60,0,746,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150708T0100-0900,64101,60,0,747,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150705T2300-0900,64101,60,0,751,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150705T2200-0900,64101,60,0,751,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150705T0000-0900,64101,60,0,750,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150705T2000-0900,64101,60,0,751,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150705T1900-0900,64101,60,0,751,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150705T2100-0900,64101,60,0,751,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150705T1800-0900,64101,60,0,752,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150705T1700-0900,64101,60,0,752,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150705T1500-0900,64101,60,0,753,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150708T2300-0900,64101,60,0,743,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150708T2200-0900,64101,60,0,743,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150708T0000-0900,64101,60,0,747,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150708T2000-0900,64101,60,0,743,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150708T1900-0900,64101,60,0,743,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150708T2100-0900,64101,60,0,743,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150708T1800-0900,64101,60,0,743,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
